voiceID,duration,meanF0Hz,stdevF0Hz,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,f1_mean,f2_mean,f3_mean,f4_mean,f1_median,f2_median,f3_median,f4_median,JitterPCA,ShimmerPCA,pF,fdisp,avgFormant,mff
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000026.wav,2.68,195.33831921419707,38.57849086270725,7.972176527912453,0.0232791182843223,0.0001198754753086,0.0109192795874106,0.010102158916533,0.0327578387622318,0.1363543008372363,1.287391044527196,0.0532143699922952,0.0782294141803846,0.1659320526751271,0.1596431099768857,570.4035200411487,1635.3247335723054,2688.424647404971,3320.92805265315,491.8824799799918,1660.8145893230983,2713.206661465643,3365.4111850203826,0.9921463470097216,-1.0852765730330365,0.2954723451396919,957.8429016801302,2057.8287289472787,1652.6309369850019
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000032.wav,5.4,157.71614754968434,30.0929522380571,8.439987138757452,0.0205422537519336,0.000129361843564,0.0111478719367083,0.0114654566654676,0.0334436158101251,0.1277040593330127,1.2185812712019266,0.0576166411154848,0.083613502835928,0.147327524211778,0.1728499233464544,540.2719400968526,1623.2101904512783,2606.6867736013696,3333.741013082881,489.7511633570646,1596.3897136336118,2661.2337923868736,3366.4970525231347,1.028923827546648,-0.8879464011704813,-0.019768968810565418,958.91529638869,2028.4679304751712,1626.8365319096647
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000033.wav,2.06,153.96478199224563,44.27315300798068,4.307104081210241,0.0258787412371662,0.0001687469179442,0.0140917163775977,0.0111054825109388,0.0422751491327932,0.1219488403373577,1.2344256967950644,0.062089504006353,0.0785398700982103,0.0900797955424353,0.186268512019059,574.9073836901067,1674.2063180322302,2651.126423510016,3351.055480832891,542.4206586527118,1654.979811613145,2613.205684930301,3392.7334293329104,1.8209844601493697,0.9796640038824328,0.35092732246802316,950.1042568933996,2050.834896132267,1679.627836536835
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000027.wav,5.96,190.0267282750396,38.01019683115109,7.939514921574217,0.0237896994283106,0.0001255181275923,0.0126270427079194,0.0119254803619967,0.0378811281237584,0.1233614999891131,1.19646659967293,0.0529631826868166,0.0667874501514309,0.1109850062035683,0.1588895480604498,515.0833855757232,1679.5413278286646,2639.327900859189,3266.5413662743126,451.0259620650021,1675.1550084762173,2633.386263919815,3285.9462798015616,0.2583432111034795,0.7079913203309134,-0.3952647721356739,944.9734392455198,2011.3783785656487,1599.034712461304
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000019.wav,3.06,150.1027371925371,42.30367894897762,6.488823525000361,0.0259753598940823,0.0001720672011449,0.0131964113203066,0.0130715209555868,0.0395892339609199,0.1552429257803263,1.440268225828604,0.0707094480651946,0.0929778830843778,0.1386272338048855,0.212128344195584,546.2956735650835,1403.2553797523717,2643.6974823260125,3199.704090245239,507.1225188086324,1429.3638012889996,2700.5075266420326,3202.9653768488783,4.345232805128657,-1.137187614618764,-0.6478340036463162,898.6142860134154,1959.9898058971357,1582.3892644581724
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000031.wav,2.84,178.99986537199675,33.64624813633585,9.775615039751122,0.0225669894841104,0.0001267292581831,0.0113071131094386,0.0140326840707957,0.0339213393283158,0.117286907433052,1.193546224755657,0.0485861444532811,0.0664143996074652,0.1008284697542675,0.1457584333598434,518.1979411604351,1644.8947709541037,2629.700441829797,3286.7635294361085,450.1775926650052,1597.0574554918524,2677.6784418273,3335.009878583625,-0.3639038609541015,0.9903836607938962,-0.29376871940796895,961.6107619728732,2014.9808421419457,1591.8054614665111
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000025.wav,6.96,174.58896954067816,41.87114282583168,7.093094820054602,0.017987975559107,0.0001026570116508,0.009071463924102,0.0093053127555736,0.0272143917723062,0.1298080995559364,1.200835768301292,0.0588143985844922,0.0818192730955575,0.1295036926110823,0.1764431957534767,536.9262533898187,1721.885403245014,2619.023234798302,3298.865654068385,478.2335652630125,1674.9401729022616,2613.867230666164,3343.217710979092,-0.154306845264256,-1.9146088958488277,-0.12751546533070704,954.9947152386931,2027.5646699526324,1626.5667267814763
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000024.wav,6.96,181.06023140314352,42.747497196189336,7.083666549963527,0.0230329431760855,0.0001268744227329,0.012213962922931,0.0118684949039068,0.0366418887687931,0.1233237209839266,1.153815080058234,0.0535005197486282,0.0750008434990098,0.1069501487414262,0.1605015592458846,563.0486586674546,1466.254712853991,2657.4978285325114,3321.7881829630546,528.5183895735257,1480.2485119967166,2706.9527872201047,3278.330958529623,0.2736572593156748,0.5358944508975463,-0.16638072743462884,916.6041896520323,1998.5126618299923,1623.2374471873547
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000030.wav,5.96,162.90039677985916,39.664236859929126,7.411747237556868,0.0183970425220541,0.000112602698082,0.008435385604244,0.008240512948311,0.0253061568127321,0.1099867413775074,1.0515375940893752,0.0473754963474642,0.0659922074334655,0.1061226294491865,0.1421264890423927,542.1662872118112,1600.2045885551531,2660.354487186709,3320.783863119934,466.3921085576365,1557.64338550168,2677.754994663257,3325.831464433973,-2.301958742028852,-0.2869023124058223,-0.3126392677309819,953.1464519587788,2006.9054882891369,1594.8600377402552
/Users/luisehaubenreiser/sprechstil/s_sprechstil/audio/Haubenreiser_16_seg_00000018.wav,6.96,190.563951054332,39.876737381125366,6.237833327149985,0.0237472251029854,0.0001235596761679,0.0128420528114462,0.0127933256264576,0.0385261584343388,0.1451866717177417,1.3855738634835175,0.0687072026982381,0.0876049585208344,0.1349188433597526,0.2061216080947145,662.8154545024499,1455.2470857378012,2609.414717221047,3304.806765124338,605.7395462444522,1461.809196591718,2632.2033590234446,3306.54450705897,2.958387418774195,-1.3913587650154893,0.09997980475669402,900.2683202715058,2001.5741522296462,1666.1634657059092
